bullet_x,bullet_y,package_x,package_y
-1.546055,-0.798218,1.000000,1.765604
-1.531206,-0.784031,1.000000,1.764942
-1.516357,-0.769933,1.000000,1.764191
-1.501508,-0.755922,1.000000,1.763352
-1.481709,-0.737379,1.000000,1.762097
-1.466859,-0.723574,1.000000,1.761052
-1.452010,-0.709858,1.000000,1.759919
-1.437161,-0.696230,1.000000,1.758698
-1.422312,-0.682691,1.000000,1.757388
-1.402513,-0.664775,1.000000,1.755504
-1.387663,-0.651442,1.000000,1.753989
-1.372814,-0.638196,1.000000,1.752385
-1.357965,-0.625039,1.000000,1.750693
-1.343116,-0.611970,1.000000,1.748912
-1.323317,-0.594683,1.000000,1.746401
-1.308467,-0.581820,1.000000,1.744414
-1.293618,-0.569046,1.000000,1.742339
-1.278769,-0.556360,1.000000,1.740176
-1.263920,-0.543762,1.000000,1.737925
-1.244121,-0.527102,1.000000,1.734786
-1.229271,-0.514710,1.000000,1.732328
-1.214422,-0.502407,1.000000,1.729783
-1.199573,-0.490191,1.000000,1.727149
-1.184724,-0.478064,1.000000,1.724426
-1.164925,-0.462032,1.000000,1.720659
-1.150075,-0.450111,1.000000,1.717731
-1.135226,-0.438279,1.000000,1.714715
-1.120377,-0.426534,1.000000,1.711610
-1.105528,-0.414878,1.000000,1.708416
-1.090678,-0.403310,1.000000,1.705135
-1.075829,-0.391831,1.000000,1.701765
-1.060980,-0.380440,1.000000,1.698307
-1.046131,-0.369137,1.000000,1.694761
-1.031281,-0.357922,1.000000,1.691126
-1.016432,-0.346796,1.000000,1.687403
-1.001583,-0.335758,1.000000,1.683592
-0.991684,-0.328448,1.000000,1.681002
-0.981784,-0.321178,1.000000,1.678373
-0.966935,-0.310346,1.000000,1.674356
-0.957035,-0.303173,1.000000,1.671629
-0.947136,-0.296040,1.000000,1.668863
-0.937236,-0.288946,1.000000,1.666057
-0.922387,-0.278379,1.000000,1.661775
-0.912488,-0.271383,1.000000,1.658871
-0.897638,-0.260963,1.000000,1.654442
-0.882789,-0.250632,1.000000,1.649924
-0.867940,-0.240388,1.000000,1.645319
-0.853091,-0.230233,1.000000,1.640624
-0.843191,-0.223512,1.000000,1.637446
-0.828342,-0.213504,1.000000,1.632605
-0.813493,-0.203584,1.000000,1.627675
-0.803593,-0.197020,1.000000,1.624340
-0.788744,-0.187248,1.000000,1.619263
-0.778844,-0.180782,1.000000,1.615830
-0.763995,-0.171156,1.000000,1.610606
-0.749146,-0.161619,1.000000,1.605294
-0.734297,-0.152170,1.000000,1.599893
-0.719447,-0.142810,1.000000,1.594405
-0.709548,-0.136618,1.000000,1.590696
-0.699648,-0.130466,1.000000,1.586949
-0.689749,-0.124354,1.000000,1.583162
-0.679850,-0.118280,1.000000,1.579337
-0.669950,-0.112246,1.000000,1.575471
-0.655101,-0.103268,1.000000,1.569600
-0.640252,-0.094378,1.000000,1.563640
-0.625402,-0.085577,1.000000,1.557593
-0.610553,-0.076864,1.000000,1.551456
-0.595704,-0.068239,1.000000,1.545232
-0.580854,-0.059702,1.000000,1.538919
-0.570955,-0.054060,1.000000,1.534662
-0.556106,-0.045671,1.000000,1.528202
-0.541257,-0.037370,1.000000,1.521654
-0.526407,-0.029157,1.000000,1.515017
-0.511558,-0.021033,1.000000,1.508292
-0.501659,-0.015665,1.000000,1.503760
-0.486809,-0.007688,1.000000,1.496888
-0.476910,-0.002419,1.000000,1.492258
-0.462061,0.005411,1.000000,1.485239
-0.442262,0.015714,1.000000,1.475743
-0.427412,0.023338,1.000000,1.468518
-0.412563,0.030874,1.000000,1.461204
-0.397714,0.038322,1.000000,1.453803
-0.382865,0.045681,1.000000,1.446313
-0.368015,0.052952,1.000000,1.438735
-0.353166,0.060135,1.000000,1.431068
-0.333367,0.069575,1.000000,1.420709
-0.318518,0.076551,1.000000,1.412836
-0.298719,0.085716,1.000000,1.402202
-0.283870,0.092487,1.000000,1.394124
-0.269020,0.099170,1.000000,1.385957
-0.259121,0.103575,1.000000,1.380463
-0.239322,0.112269,1.000000,1.369358
-0.224473,0.118687,1.000000,1.360927
-0.209623,0.125016,1.000000,1.352407
-0.199724,0.129187,1.000000,1.346678
-0.184875,0.135369,1.000000,1.338010
-0.165076,0.143474,1.000000,1.326317
-0.150226,0.149450,1.000000,1.317444
-0.135377,0.155338,1.000000,1.308482
-0.120528,0.161138,1.000000,1.299433
-0.105679,0.166849,1.000000,1.290295
-0.090829,0.172472,1.000000,1.281068
-0.075980,0.178006,1.000000,1.271754
-0.056181,0.185249,1.000000,1.259197
-0.036382,0.192334,1.000000,1.246483
-0.021533,0.197545,1.000000,1.236845
-0.006684,0.202667,1.000000,1.227118
0.018065,0.211009,1.000000,1.210711
0.032914,0.215896,1.000000,1.200749
0.047763,0.220695,1.000000,1.190699
0.057663,0.223845,1.000000,1.183949
0.072512,0.228497,1.000000,1.173752
0.092311,0.234562,1.000000,1.160018
0.102211,0.237536,1.000000,1.153092
0.117060,0.241922,1.000000,1.142630
0.126959,0.244798,1.000000,1.135606
0.136859,0.247634,1.000000,1.128542
0.151708,0.251815,1.000000,1.117874
0.161608,0.254553,1.000000,1.110713
0.186356,0.261227,1.000000,1.092638
0.201206,0.265114,1.000000,1.081675
0.216055,0.268912,1.000000,1.070624
0.230904,0.272622,1.000000,1.059485
0.245753,0.276244,1.000000,1.048257
0.275452,0.283222,1.000000,1.025537
0.305150,0.289848,1.000000,1.002464
0.320000,0.293028,1.000000,0.990795
0.344748,0.298132,1.000000,0.971151
0.359598,0.301077,1.000000,0.959246
0.374447,0.303933,1.000000,0.947254
0.399196,0.308498,1.000000,0.927070
0.428894,0.313652,1.000000,0.902525
0.448693,0.316892,1.000000,0.885966
0.468492,0.319974,1.000000,0.869249
0.503140,0.324992,1.000000,0.839618
0.517990,0.326995,1.000000,0.826772
0.537789,0.329528,1.000000,0.809506
0.557588,0.331904,1.000000,0.792084
0.582336,0.334654,1.000000,0.770085
0.597185,0.336187,1.000000,0.756768
0.612035,0.337630,1.000000,0.743363
0.621934,0.338544,1.000000,0.734377
0.631834,0.339418,1.000000,0.725351
0.646683,0.340656,1.000000,0.711740
0.661532,0.341806,1.000000,0.698040
0.676381,0.342867,1.000000,0.684252
0.691231,0.343840,1.000000,0.670376
0.711030,0.345000,1.000000,0.651737
0.720929,0.345521,1.000000,0.642359
0.730829,0.346003,1.000000,0.632941
0.745678,0.346652,1.000000,0.618741
0.760527,0.347213,1.000000,0.604453
0.770427,0.347538,1.000000,0.594878
0.790226,0.348070,1.000000,0.575612
0.805075,0.348366,1.000000,0.561058
0.819924,0.348574,1.000000,0.546417
0.834773,0.348694,1.000000,0.531687
0.844673,0.348724,1.000000,0.521818
0.859522,0.348697,1.000000,0.506941
0.869422,0.348629,1.000000,0.496975
0.889221,0.348377,1.000000,0.476923
0.904070,0.348084,1.000000,0.461781
0.918919,0.347703,1.000000,0.446551
0.933768,0.347234,1.000000,0.431233
0.943668,0.346873,1.000000,0.420972
0.953567,0.346471,1.000000,0.410671
0.978316,0.345297,1.000000,0.384748
