x,y,t
0.498344,0.040655,0.022000
0.498030,0.044342,0.024000
0.497507,0.049867,0.027000
0.497124,0.053547,0.029000
0.496715,0.057224,0.031000
0.496049,0.062734,0.034000
0.495322,0.068236,0.037000
0.494803,0.071900,0.039000
0.493975,0.077388,0.042000
0.493389,0.081041,0.044000
0.492775,0.084690,0.046000
0.492135,0.088334,0.048000
0.491124,0.093791,0.051000
0.490053,0.099237,0.054000
0.488921,0.104670,0.057000
0.488134,0.108285,0.059000
0.486901,0.113697,0.062000
0.486047,0.117297,0.064000
0.484715,0.122684,0.067000
0.483323,0.128057,0.070000
0.481872,0.133414,0.073000
0.480872,0.136976,0.075000
0.479322,0.142305,0.078000
0.478255,0.145848,0.080000
0.476607,0.151148,0.083000
0.475476,0.154671,0.085000
0.473729,0.159939,0.088000
0.471925,0.165187,0.091000
0.470690,0.168675,0.093000
0.469429,0.172153,0.095000
0.467489,0.177353,0.098000
0.465492,0.182531,0.101000
0.463437,0.187687,0.104000
0.461325,0.192819,0.107000
0.459885,0.196228,0.109000
0.457679,0.201320,0.112000
0.456177,0.204702,0.114000
0.453877,0.209753,0.117000
0.452312,0.213105,0.119000
0.449919,0.218113,0.122000
0.447470,0.223093,0.125000
0.444966,0.228046,0.128000
0.442407,0.232971,0.131000
0.439794,0.237868,0.134000
0.437127,0.242735,0.137000
0.435319,0.245963,0.139000
0.433487,0.249177,0.141000
0.430694,0.253974,0.144000
0.428803,0.257154,0.146000
0.425922,0.261898,0.149000
0.422989,0.266609,0.152000
0.420004,0.271288,0.155000
0.417985,0.274388,0.157000
0.414913,0.279011,0.160000
0.412837,0.282074,0.162000
0.409681,0.286639,0.165000
0.407548,0.289662,0.167000
0.405394,0.292670,0.169000
0.403217,0.295662,0.171000
0.399910,0.300120,0.174000
0.396554,0.304540,0.177000
0.394290,0.307466,0.179000
0.390853,0.311824,0.182000
0.387368,0.316143,0.185000
0.383835,0.320423,0.188000
0.380254,0.324664,0.191000
0.377841,0.327469,0.193000
0.375408,0.330256,0.195000
0.371719,0.334402,0.198000
0.367984,0.338508,0.201000
0.364204,0.342572,0.204000
0.360379,0.346593,0.207000
0.356510,0.350572,0.210000
0.353906,0.353200,0.212000
0.349964,0.357107,0.215000
0.345978,0.360969,0.218000
0.341950,0.364787,0.221000
